,0
734,51645090599
735,68462015713
736,63029850401
737,6482700
738,603254421
739,641611710
740,338067504
741,78035906
742,63323010510
743,50383072017
744,904585361
745,132000119
746,93310793
747,51079076220
748,409126130
749,74148402
750,42023012225
751,409793124
752,74241612
753,165002241
754,93312301
755,50383077517
756,781340895
757,904780961
758,904531360
759,406324301
760,409475503
761,10019055304
762,487980101
763,59011041020
764,63323066401
765,487950125
766,641607325
767,409341401
768,165005441
769,68084025401
770,74300000539
771,51079010520
772,904627961
773,904628061
774,68084018001
775,74663322
776,59676056201
777,766004548
778,51079013320
779,641047725
780,62584089701
781,51079028520
782,603150858
783,2411533
784,55390020910
785,6003121
786,93435693
787,54001820
788,64980015701
789,58914078510
790,10019051002
791,63323012820
792,64253033335
793,6394132
794,338004901
795,63323016505
796,93894393
797,55390023301
798,63323027810
799,54872425
800,68084030301
801,517231525
802,409468802
803,55513053010
804,54874025
805,25021030102
806,62584071301
807,41167413102
808,63323024120
809,591315901
810,143989001
811,9001104
812,58177029311
813,61553018352
814,904208560
815,93022290
816,66553000201
817,904632261
818,68084051101
819,603533521
820,50268033415
821,59011044225
822,143987310
823,338001703
824,409379349
825,68084056501
826,8290306513
827,43598044674
828,68084040001
829,310075590
830,904282161
831,536589588
832,54051744
833,23155001701
834,904145361
835,51079055720
836,66689003750
837,49781014214
838,603023516
839,63323056890
840,63739053710
841,11917007645
842,63323061401
843,904580061
844,68084019801
845,10019007587
846,11017025030
847,409663734
848,338634603
849,63323061603
850,54162050001
851,50383056510
852,63323030201
853,944049302
854,24338012213
855,25021080601
856,61553012011
857,641601410
858,71101441
859,63323017015
860,904608461
861,42023016425
862,63323065820
863,44206031050
864,378001805
865,51079002420
866,409468823
867,143987510
868,641141035
869,68084061701
870,731040106
871,469321110
872,574704512
873,206885216
874,143967310
875,9001103
876,172541360
877,409230517
878,66689040150
879,13107000130
880,338001710
881,51079045020
882,187170405
883,51079021720
884,42002030001
885,37000074092
886,17478071110
887,536138912
888,54569618900
889,65649020175
890,51079052720
891,132020145
892,51079028620
893,57664050289
894,597010760
895,597014960
896,68084018601
897,781207601
898,10006070028
899,78069635
900,25021040201
901,51079020620
902,904629304
903,57664027408
904,75062041
905,310028339
906,54868255700
907,781707787
908,50458058010
909,781570192
910,9513503
911,93046301
912,47781030701
913,68084031901
914,904645361
915,904640861
916,904637761
917,409733201
918,10122032510
919,591336901
920,264751010
921,409792209
922,63323030655
923,904292461
924,409337504
925,409230521
926,904292061
927,338004931
928,75245101
929,168001231
930,942064104
931,67457022810
932,63323054011
933,61553019648
934,409724101
935,63323013011
936,54868410300
937,172436560
938,64980030130
939,63739005910
940,60505075204
941,25021012120
942,78012705
943,115703301
944,456430001
945,51079098120
946,51079078720
947,78012606
948,78012706
949,10267146501
950,68084006501
951,51079010720
952,121053005
953,517571025
954,51079077120
955,59310057920
956,409427501
957,63739026110
958,703940204
959,9514001
960,37000002404
961,338001701
962,10019002804
963,51079093020
964,781710955
965,781711255
966,67919001101
967,409606211
968,591319872
969,59762503001
970,34180080
971,55390003710
972,74233326
973,603137859
974,409492834
975,23031204
976,23360015250
977,223176001
978,548124000
979,66582041428
980,63323029766
981,10019001617
982,409163802
983,29152611
984,54868416700
985,63323022905
986,51845030
987,68682036790
988,68084059101
989,182000101
990,11845014951
991,71019028507
992,121148800
993,66553000101
994,409741903
995,904062960
996,536407701
997,904605261
998,51293080101
999,904630477
1000,68084025901
1001,50268069215
1002,51079075320
1003,50268008415
1004,51079005820
1005,338355148
1006,186604001
1007,904592861
1008,409707714
1009,143967325
1010,51079086420
1011,409226720
1012,17856200205
1013,409490334
1014,32121201
1015,51079087101
1016,50458057810
1017,51079021020
1018,68084062001
1019,68084024801
1020,121467555
1021,57237004801
1022,44567023610
1023,51079098220
1024,61553015361
1025,62584073301
1026,55390013020
1027,409433249
1028,2445485
1029,555101116
1030,51079030020
1031,49884079474
1032,182181144
1033,143178701
1034,51672131200
1035,76014000410
1036,63739052201
1037,944049505
1038,63739048910
1039,409795309
1040,54868277600
1041,54008826
1042,74929613
1043,338069104
1044,2324033
1045,60505299603
1046,51079073420
1047,51079073320
1048,781139313
1049,55390014710
1050,29152725
1051,182004701
1052,182853489
1053,904213761
1054,548560500
1055,51079081220
1056,65162025310
1057,76045000905
1058,68084065901
1059,378207201
1060,186085954
1061,50383023210
1062,591079601
1063,409080601
1064,23917705
1065,45802011222
1066,68084035501
1067,60505056802
1068,51079029420
1069,536302906
1070,58160082152
1071,60505006500
1072,61553018102
1073,641047625
1074,42023014625
1075,409127332
1076,63739050010
1077,59762502501
1078,63323050601
1079,904563261
1080,536110888
1081,78024615
1082,51079072120
1083,4026001
1084,68084030401
1085,68084048301
1086,68084008165
1087,186109039
1088,944270005
1089,62584081301
1090,63323039923
1091,49999010830
1092,17478093710
1093,59762503101
1094,42998030202
1095,641610525
1096,61553094202
1097,409166010
1098,24515010
1099,409651001
1100,338007704
1101,944049301
1102,245014701
1103,51079048020
1104,548146900
1105,51079044020
1106,591569401
1107,68084085601
1108,68382013814
1109,536478701
1110,121048910
1111,78035806
1112,58016050902
1113,87277235
1114,93738201
1115,338051141
1116,555061214
1117,378180377
1118,50111043401
1119,36000003310
1120,93221001
1121,36000000306
1122,50268072815
1123,63323096510
1124,59011042020
1125,19481604
1126,93720656
1127,42457000184
1128,904600761
1129,51079054120
1130,74662490
1131,55111026281
1132,378180977
1133,703331104
1134,8290306424
1135,70860045110
1136,68084063521
1137,23155029442
1138,32909071103
1139,409733503
1140,63323029730
1141,64679063302
1142,173094755
1143,26556161
1144,766145010
1145,17314931102
1146,574012008
1147,186023003
1148,85056605
1149,54024424
1150,50268078815
1151,50268027815
1152,63739067210
1153,904632361
1154,47781059891
1155,25021013720
1156,50474059440
1157,54868311105
1158,51079074520
1159,51079051920
1160,57664051083
1161,68084085501
1162,904628361
1163,12547015040
1164,49884046565
1165,904131309
1166,378041501
1167,904632661
1168,68084003101
1169,172364910
1170,574703412
1171,66553000801
1172,63739058810
1173,51079087120
1174,51079097320
1175,185077130
1176,29336030510
1177,51672125902
1178,51079088220
1179,51079059720
1180,206885516
1181,2411733
1182,63402030410
1183,59148001315
1184,59148000935
1185,59148000835
1186,71101268
1187,68084020201
1188,68084020301
1189,781543820
1190,409405101
1191,121059530
1192,68084006901
1193,67457044022
1194,574027511
1195,781202001
1196,378180777
1197,44567024110
1198,41100081123
1199,904655161
1200,29300022701
1201,168015431
1202,68382077277
1203,69543013120
1204,25021045301
1205,93078405
1206,39822020501
1207,16729018201
1208,406831562
1209,703102030
1210,25021040010
1211,51079045320
1212,63323037601
1213,49999025130
1214,63323050831
1215,51079060820
1216,68084027501
1217,54868003404
1218,49281075221
1219,63323040220
1220,63323037701
1221,56051030
1222,456333001
1223,63739037510
1224,60432013325
1225,55390007710
1226,61958060101
1227,182178989
1228,472011720
1229,61958040101
1230,310027239
1231,51079006720
1232,51079028621
1233,51079097120
1234,51079043720
1235,68084050101
1236,904662061
1237,63739045410
1238,63323049257
1239,68180035407
1240,63323045401
1241,44567062124
1242,68084059201
1243,60793011601
1244,55390007310
1245,59762153005
1246,65597010330
1247,68084087501
1248,51079099220
1249,51079082120
1250,54482014407
